ORG_CODE,DISTRICT_NAME,SCHOOL,SCHOOL_NAME,COUNTY,School_Total,# of students 7-12th grades,Have Middle or High Schoolers?,% PK - 6th graders,Include in SMITH visualization?
3502,Baystate Academy Charter Public School (District),35020405,Baystate Academy Charter Public School,Hampden,388,317,Yes,18%,Include
0414,Berkshire Arts and Technology Charter Public (District),04140305,Berkshire Arts and Technology Charter Public School,Berkshire,364,292,Yes,20%,Include
0281,Springfield,02810317,Springfield Legacy Academy,Hampden,299,238,Yes,20%,Include
0281,Springfield,02810320,John J Duggan Academy,Hampden,823,652,Yes,21%,Include
0215,North Brookfield,02150505,North Brookfield High,Worcester,157,123,Yes,22%,Include
0281,Springfield,02810345,Springfield Public Day Middle School,Hampden,60,46,Yes,23%,Include
0674,Gill-Montague,06740310,Great Falls Middle,Franklin,228,169,Yes,26%,Include
0281,Springfield,02810705,The Springfield Virtual School,Hampden,250,185,Yes,26%,Include
0236,Pittsfield,02360305,John T Reid Middle,Berkshire,407,300,Yes,26%,Include
3901,Greater Commonwealth Virtual District,39010900,Greater Commonwealth Virtual School,Franklin,1184,864,Yes,27%,Include
0277,Southbridge,02770315,Southbridge Middle School,Worcester,380,276,Yes,27%,Include
