School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days,school_year,Chronically Absent (20% or more),ORG_CODE,DISTRICT_NAME,SCHOOL_NAME,COUNTY,School_Total,# of students 7-12th grades,Have Middle or High Schoolers?,% PK - 6th graders,Include in SMITH visualization?
Springfield-High School Of Commerce,02810510,91.1,14.5,51.3,32.8,24.6,2018-19,NA,0281,Springfield,High School Of Commerce,Hampden,966,966,Yes,0%,Include
Springfield-Springfield High School of Science and Technology,02810530,93.0,11.7,41.0,23.3,27.5,2018-19,NA,0281,Springfield,Springfield High School of Science and Technology,Hampden,1091,1091,Yes,0%,Include
Springfield-Springfield Public Day High School,02810550,71.1,40.1,85.7,78.1,79.0,2018-19,NA,0281,Springfield,Springfield Public Day High School,Hampden,65,65,Yes,0%,Include
Springfield-Liberty Preparatory Academy,02810560,81.6,10.2,23.1,38.5,19.2,2018-19,NA,0281,Springfield,Liberty Preparatory Academy,Hampden,6,6,Yes,0%,Include
Springfield-Springfield High School,02810570,82.3,23.9,56.1,50.2,31.7,2018-19,NA,0281,Springfield,Springfield High School,Hampden,237,237,Yes,0%,Include
Springfield-Gateway to College at Holyoke Community College,02810575,89.5,16.6,66.7,40.7,59.3,2018-19,NA,0281,Springfield,Gateway to College at Holyoke Community College,Hampden,21,21,Yes,0%,Include
Springfield-Gateway to College at Springfield Technical Community College,02810580,76.2,31.4,75.0,72.5,72.5,2018-19,NA,0281,Springfield,Gateway to College at Springfield Technical Community College,Hampden,25,25,Yes,0%,Include
Springfield-Roger L. Putnam Vocational Technical Academy,02810620,95.1,8.6,32.6,10.0,20.7,2018-19,NA,0281,Springfield,Roger L. Putnam Vocational Technical Academy,Hampden,1382,1382,Yes,0%,Include
Springfield-Springfield International Academy at Sci-Tech,02810700,88.1,15.0,36.0,28.0,0.0,2018-19,NA,0281,Springfield,Springfield International Academy at Sci-Tech,Hampden,95,95,Yes,0%,Include
Springfield-The Springfield Renaissance School an Expeditionary Learning School,02810205,94.2,10.2,38.8,15.5,21.6,2018-19,NA,0281,Springfield,The Springfield Renaissance School an Expeditionary Learning School,Hampden,593,497,Yes,16%,Include
