School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days,school_year,Chronically Absent (20% or more),ORG_CODE,DISTRICT_NAME,SCHOOL_NAME,COUNTY,School_Total,# of students 7-12th grades,Have Middle or High Schoolers?,% PK - 6th graders,Include in SMITH visualization?
Springfield-Chestnut Accelerated Middle School (Talented and Gifted),02810367,94.6,9.5,32.0,12.9,0.0,2017-18,NA,0281,Springfield,Chestnut Accelerated Middle School (Talented and Gifted),Hampden,265,172,Yes,35%,Include
Springfield-Conservatory of the Arts,02810475,91.7,14.6,56.1,29.4,0.0,2017-18,NA,0281,Springfield,Conservatory of the Arts,Hampden,296,248,Yes,16%,Include
Springfield-South End Middle School,02810355,90.9,15.3,60.8,33.5,0.0,2017-18,NA,0281,Springfield,South End Middle School,Hampden,163,114,Yes,30%,Include
Springfield-Balliet Middle School,02810360,69.6,46.8,86.2,77.6,75.9,2017-18,NA,0281,Springfield,Springfield Middle School,Hampden,18,17,Yes,6%,Include
Springfield-Impact Prep at Chestnut,02810366,90.6,15.8,57.8,33.3,0.0,2017-18,NA,0281,Springfield,Impact Prep at Chestnut,Hampden,278,143,Yes,49%,Include
Springfield-The Springfield Renaissance School an Expeditionary Learning School,02810205,94.1,10.6,43.2,15.9,0.0,2017-18,NA,0281,Springfield,The Springfield Renaissance School an Expeditionary Learning School,Hampden,593,497,Yes,16%,Include
Springfield-John J Duggan Middle,02810320,93.4,11.3,37.8,19.7,0.0,2017-18,NA,0281,Springfield,John J Duggan Academy,Hampden,823,652,Yes,21%,Include
Springfield-Forest Park Middle,02810325,90.7,15.5,53.1,31.9,0.0,2017-18,NA,0281,Springfield,Forest Park Middle,Hampden,282,182,Yes,35%,Include
Springfield-John F Kennedy Middle,02810328,91.3,14.6,58.2,30.5,0.0,2017-18,NA,0281,Springfield,John F Kennedy Middle,Hampden,366,224,Yes,39%,Include
Springfield-Springfield Public Day Middle School,02810345,83.3,26.4,73.1,59.6,44.2,2017-18,NA,0281,Springfield,Springfield Public Day Middle School,Hampden,60,46,Yes,23%,Include
Springfield-STEM Middle Academy,02810350,95.7,7.4,29.4,8.8,0.0,2017-18,NA,0281,Springfield,STEM Middle Academy,Hampden,269,178,Yes,34%,Include
Sutton-Sutton Middle School,02900305,96.4,6.5,22.0,4.9,9.2,2017-18,NA,0290,Sutton,Sutton Middle School,Worcester,313,196,Yes,37%,Include
Sutton-Sutton High School,02900510,94.9,8.8,33.4,11.6,15.3,2017-18,NA,0290,Sutton,Sutton High School,Worcester,367,367,Yes,0%,Include
Tantasqua-Tantasqua Regional Sr High,07700505,95.4,7.9,27.9,11.2,0.0,2017-18,NA,0770,Tantasqua,Tantasqua Regional Sr High,Worcester,632,625,Yes,0%,Include
Tantasqua-Tantasqua Regional Vocational,07700605,93.8,10.8,41.0,16.8,0.0,2017-18,NA,0770,Tantasqua,Tantasqua Regional Vocational,Worcester,542,542,Yes,0%,Include
Tantasqua-Tantasqua Regional Jr High,07700405,94.9,9.0,35.0,11.9,0.0,2017-18,NA,0770,Tantasqua,Tantasqua Regional Jr High,Worcester,576,576,Yes,0%,Include
Uxbridge-Gateway to College,03040515,100.0,0.0,0.0,0.0,0.0,2017-18,NA,0304,Uxbridge,Gateway to College,Worcester,44,44,Yes,0%,Include
Uxbridge-Uxbridge High,03040505,94.1,10.1,38.3,16.0,11.7,2017-18,NA,0304,Uxbridge,Uxbridge High,Worcester,590,582,Yes,0%,Include
Veritas Preparatory Charter School (District)-Veritas Preparatory Charter School,04980405,94.1,10.6,45.1,15.6,30.7,2017-18,NA,0498,Veritas Preparatory Charter School (District),Veritas Preparatory Charter School,Hampden,712,495,Yes,30%,Include
Wachusett-Chocksett Middle School,07750315,95.7,7.7,29.5,6.5,0.0,2017-18,NA,0775,Wachusett,Chocksett Middle School,Worcester,264,127,Yes,52%,Include
Wachusett-Wachusett Regional High,07750505,95.8,7.4,23.0,6.3,0.0,2017-18,NA,0775,Wachusett,Wachusett Regional High,Worcester,1779,1760,Yes,0%,Include
Wachusett-Central Tree Middle,07750310,96.0,7.1,27.7,6.4,0.0,2017-18,NA,0775,Wachusett,Central Tree Middle,Worcester,369,249,Yes,33%,Include
Wachusett-Mountview Middle,07750305,96.4,6.4,20.4,4.6,0.0,2017-18,NA,0775,Wachusett,Mountview Middle,Worcester,773,504,Yes,35%,Include
Ware-Ware Junior/Senior High School,03090505,92.0,13.8,47.0,25.3,23.0,2017-18,NA,0309,Ware,Ware Junior/Senior High School,Hampshire,425,416,Yes,0%,Include
Webster-Webster Middle School,03160315,93.6,10.8,41.8,20.0,0.0,2017-18,NA,0316,Webster,Webster Middle School,Worcester,566,293,Yes,48%,Include
Webster-Bartlett High School,03160505,91.8,13.8,46.6,28.2,1.1,2017-18,NA,0316,Webster,Bartlett High School,Worcester,408,404,Yes,0%,Include
West Boylston-West Boylston Junior/Senior High,03220505,95.4,7.9,27.2,8.9,26.0,2017-18,NA,0322,West Boylston,West Boylston Junior/Senior High,Worcester,461,382,Yes,17%,Include
West Springfield-West Springfield Middle,03320305,95.4,7.9,30.8,10.1,5.5,2017-18,NA,0332,West Springfield,West Springfield Middle,Hampden,909,612,Yes,33%,Include
West Springfield-West Springfield High,03320505,94.2,10.0,32.9,17.6,14.6,2017-18,NA,0332,West Springfield,West Springfield High,Hampden,1231,1221,Yes,0%,Include
Westborough-Westborough High,03210505,96.5,6.2,18.6,5.4,10.7,2017-18,NA,0321,Westborough,Westborough High,Worcester,1213,1204,Yes,0%,Include
Westborough-Sarah W Gibbons Middle,03210305,96.7,5.9,19.6,4.9,4.7,2017-18,NA,0321,Westborough,Sarah W Gibbons Middle,Worcester,610,610,Yes,0%,Include
Westfield-Westfield High,03250505,92.2,13.4,46.1,22.8,13.9,2017-18,NA,0325,Westfield,Westfield High,Hampden,1034,1020,Yes,0%,Include
Westfield-South Middle School,03250310,93.4,11.4,43.3,20.8,17.5,2017-18,NA,0325,Westfield,Westfield Middle School,Hampden,671,671,Yes,0%,Include
Westfield-Westfield Technical Academy,03250605,93.7,10.9,41.5,19.7,4.4,2017-18,NA,0325,Westfield,Westfield Technical Academy,Hampden,557,557,Yes,0%,Include
Winchendon-Murdock High School,03430515,92.8,12.3,48.5,23.3,43.9,2017-18,NA,0343,Winchendon,Murdock High School,Worcester,256,253,Yes,0%,Include
Winchendon-Murdock Middle School,03430315,94.0,10.3,43.6,16.6,34.3,2017-18,NA,0343,Winchendon,Murdock Middle School,Worcester,281,191,Yes,32%,Include
Worcester-University Pk Campus School,03480285,95.6,7.8,25.3,11.8,21.1,2017-18,NA,0348,Worcester,University Pk Campus School,Worcester,233,233,Yes,0%,Include
Worcester-Claremont Academy,03480350,93.1,11.6,41.3,20.1,36.4,2017-18,NA,0348,Worcester,Claremont Academy,Worcester,474,473,Yes,0%,Include
Worcester-Burncoat Middle School,03480405,94.9,8.8,32.0,13.1,30.2,2017-18,NA,0348,Worcester,Burncoat Middle School,Worcester,720,720,Yes,0%,Include
Worcester-Forest Grove Middle,03480415,95.3,8.1,29.1,12.2,25.1,2017-18,NA,0348,Worcester,Forest Grove Middle,Worcester,839,839,Yes,0%,Include
Worcester-Worcester East Middle,03480420,93.9,10.4,43.9,18.0,34.8,2017-18,NA,0348,Worcester,Worcester East Middle,Worcester,731,731,Yes,0%,Include
Worcester-Sullivan Middle,03480423,94.1,10.2,38.9,17.8,33.1,2017-18,NA,0348,Worcester,Sullivan Middle,Worcester,940,892,Yes,5%,Include
Worcester-Worcester Technical High,03480605,96.2,6.7,23.9,5.5,19.0,2017-18,NA,0348,Worcester,Worcester Technical High,Worcester,1442,1419,Yes,0%,Include
Worcester-South High Community,03480520,90.6,15.6,55.3,31.7,47.9,2017-18,NA,0348,Worcester,South High Community,Worcester,1800,1779,Yes,0%,Include
Worcester-North High,03480515,90.9,14.7,52.6,30.4,45.9,2017-18,NA,0348,Worcester,North High,Worcester,1376,1362,Yes,0%,Include
Worcester-Burncoat Senior High,03480503,92.5,12.5,46.2,23.0,41.3,2017-18,NA,0348,Worcester,Burncoat Senior High,Worcester,1073,1050,Yes,0%,Include
Worcester-Doherty Memorial High,03480512,93.6,10.8,39.9,18.9,32.1,2017-18,NA,0348,Worcester,Doherty Memorial High,Worcester,1573,1565,Yes,0%,Include
Abby Kelley Foster Charter Public (District)-Abby Kelley Foster Charter Public School,04450105,97.2,5.1,16.0,2.2,16.0,2018-19,NA,0445,Abby Kelley Foster Charter Public (District),Abby Kelley Foster Charter Public School,Worcester,1426,540,Yes,62%,Include
Adams-Cheshire-Hoosac Valley High School,06030505,94.0,10.3,39.9,14.0,29.8,2018-19,NA,0603,Hoosac Valley Regional,Hoosac Valley High School,Berkshire,296,296,Yes,0%,Include
Agawam-Agawam High,00050505,96.5,6.1,16.1,4.1,16.1,2018-19,NA,0005,Agawam,Agawam High,Hampden,1025,1016,Yes,0%,Include
Agawam-Agawam Junior High,00050405,96.8,5.6,20.6,3.2,20.6,2018-19,NA,0005,Agawam,Agawam Junior High,Hampden,527,527,Yes,0%,Include
Amherst-Pelham-Amherst Regional High,06050505,92.7,12.7,40.4,18.2,13.4,2018-19,NA,0605,Amherst-Pelham,Amherst Regional High,Hampshire,816,810,Yes,0%,Include
Amherst-Pelham-Amherst Regional Middle School,06050405,95.2,8.3,27.5,11.8,9.5,2018-19,NA,0605,Amherst-Pelham,Amherst Regional Middle School,Hampshire,366,366,Yes,0%,Include
Ashburnham-Westminster-Oakmont Regional High School,06100505,96.0,7.0,21.9,4.8,21.0,2018-19,NA,0610,Ashburnham-Westminster,Oakmont Regional High School,Worcester,633,629,Yes,0%,Include
Ashburnham-Westminster-Overlook Middle School,06100305,96.2,6.8,22.8,5.7,16.4,2018-19,NA,0610,Ashburnham-Westminster,Overlook Middle School,Worcester,576,360,Yes,38%,Include
Athol-Royalston-Athol High,06150505,92.5,13.0,44.4,19.9,34.6,2018-19,NA,0615,Athol-Royalston,Athol High,Worcester,417,413,Yes,0%,Include
Athol-Royalston-Athol-Royalston Middle School,06150305,94.1,10.2,41.6,14.5,28.3,2018-19,NA,0615,Athol-Royalston,Athol-Royalston Middle School,Worcester,446,243,Yes,46%,Include
Auburn-Auburn Senior High,00170505,94.0,10.5,38.8,16.5,0.7,2018-19,NA,0017,Auburn,Auburn Senior High,Worcester,834,727,Yes,12%,Include
Auburn-Auburn Middle,00170305,96.1,7.0,24.7,7.0,0.5,2018-19,NA,0017,Auburn,Auburn Middle,Worcester,628,420,Yes,33%,Include
Baystate Academy Charter Public School (District)-Baystate Academy Charter Public School,35020405,93.7,11.2,44.9,18.2,34.4,2018-19,NA,3502,Baystate Academy Charter Public School (District),Baystate Academy Charter Public School,Hampden,388,317,Yes,18%,Include
Belchertown-Jabish Middle School,00240025,95.4,8.2,29.6,9.5,13.6,2018-19,NA,0024,Belchertown,Jabish Middle School,Hampshire,343,343,Yes,0%,Include
Belchertown-Belchertown High,00240505,93.6,11.2,44.3,19.4,30.6,2018-19,NA,0024,Belchertown,Belchertown High,Hampshire,573,565,Yes,0%,Include
Berkshire Arts and Technology Charter Public (District)-Berkshire Arts and Technology Charter Public School,04140305,94.0,10.6,42.2,15.3,31.1,2018-19,NA,0414,Berkshire Arts and Technology Charter Public (District),Berkshire Arts and Technology Charter Public School,Berkshire,364,292,Yes,20%,Include
Berkshire Hills-Monument Valley Regional Middle School,06180310,94.9,9.1,34.9,11.8,0.9,2018-19,NA,0618,Berkshire Hills,W.E.B. Du Bois Regional Middle School,Berkshire,326,171,Yes,48%,Include
Berkshire Hills-Monument Mt Regional High,06180505,93.1,11.9,42.7,20.1,5.4,2018-19,NA,0618,Berkshire Hills,Monument Mt Regional High,Berkshire,431,427,Yes,0%,Include
Berlin-Boylston-Tahanto Regional High,06200505,96.0,7.2,24.2,4.8,0.9,2018-19,NA,0620,Berlin-Boylston,Tahanto Regional High,Worcester,522,446,Yes,15%,Include
Blackstone Valley Regional Vocational Technical-Blackstone Valley,08050605,96.1,7.2,25.3,6.2,6.8,2018-19,NA,0805,Blackstone Valley Regional Vocational Technical,Blackstone Valley,Worcester,1243,1243,Yes,0%,Include
Blackstone-Millville-Blackstone Millville RHS,06220505,94.5,9.5,35.3,12.5,20.6,2018-19,NA,0622,Blackstone-Millville,Blackstone Millville RHS,Worcester,534,531,Yes,0%,Include
Central Berkshire-Nessacus Regional Middle School,06350305,94.9,9.0,34.3,12.4,29.4,2018-19,NA,0635,Central Berkshire,Nessacus Regional Middle School,Berkshire,353,247,Yes,30%,Include
Central Berkshire-Wahconah Regional High,06350505,94.7,9.3,30.5,10.6,26.1,2018-19,NA,0635,Central Berkshire,Wahconah Regional High,Berkshire,450,450,Yes,0%,Include
Chicopee-Chicopee Academy,00610021,74.6,35.5,86.0,80.0,75.0,2018-19,NA,0061,Chicopee,Chicopee Academy,Hampden,92,92,Yes,0%,Include
Chicopee-Bellamy Middle,00610305,94.8,9.0,38.9,11.4,30.2,2018-19,NA,0061,Chicopee,Bellamy Middle,Hampden,776,533,Yes,31%,Include
Chicopee-Dupont Middle,00610310,94.2,10.0,40.7,18.6,34.2,2018-19,NA,0061,Chicopee,Dupont Middle,Hampden,683,474,Yes,31%,Include
Chicopee-Chicopee High,00610505,92.6,12.5,49.1,26.9,42.4,2018-19,NA,0061,Chicopee,Chicopee High,Hampden,918,918,Yes,0%,Include
Chicopee-Chicopee Comprehensive High School,00610510,94.7,9.2,33.1,12.4,23.1,2018-19,NA,0061,Chicopee,Chicopee Comprehensive High School,Hampden,1192,1192,Yes,0%,Include
Clinton-Clinton Middle School,00640305,94.6,9.4,35.6,15.1,0.0,2018-19,NA,0064,Clinton,Clinton Middle School,Worcester,573,274,Yes,52%,Include
Clinton-Clinton Senior High,00640505,93.5,11.1,48.4,22.0,0.4,2018-19,NA,0064,Clinton,Clinton Senior High,Worcester,582,558,Yes,4%,Include
Douglas-Douglas Middle School,00770305,95.3,8.3,27.6,8.3,18.7,2018-19,NA,0077,Douglas,Douglas Middle School,Worcester,284,193,Yes,32%,Include
Douglas-Douglas High School,00770505,93.7,11.0,40.9,16.1,23.8,2018-19,NA,0077,Douglas,Douglas High School,Worcester,267,264,Yes,0%,Include
Dudley-Charlton Reg-Shepherd Hill Regional High,06580505,94.8,9.0,32.6,10.2,22.1,2018-19,NA,0658,Dudley-Charlton Reg,Shepherd Hill Regional High,Worcester,942,938,Yes,0%,Include
Dudley-Charlton Reg-Charlton Middle School,06580310,96.2,6.7,21.7,5.1,12.6,2018-19,NA,0658,Dudley-Charlton Reg,Charlton Middle School,Worcester,631,316,Yes,50%,Include
Dudley-Charlton Reg-Dudley Middle School,06580305,96.7,5.8,18.4,4.6,12.3,2018-19,NA,0658,Dudley-Charlton Reg,Dudley Middle School,Worcester,540,285,Yes,47%,Include
East Longmeadow-East Longmeadow High,00870505,94.3,10.2,40.4,12.1,0.0,2018-19,NA,0087,East Longmeadow,East Longmeadow High,Hampden,753,750,Yes,0%,Include
East Longmeadow-Birchland Park,00870305,96.0,7.1,24.2,6.9,0.0,2018-19,NA,0087,East Longmeadow,Birchland Park,Hampden,590,403,Yes,32%,Include
Easthampton-Easthampton High,00860505,93.6,11.3,41.6,17.6,15.1,2018-19,NA,0086,Easthampton,Easthampton High,Hampshire,377,377,Yes,0%,Include
Fitchburg-Fitchburg High,00970505,91.6,13.8,52.2,29.0,40.1,2018-19,NA,0097,Fitchburg,Fitchburg High,Worcester,1220,1220,Yes,0%,Include
Fitchburg-Goodrich Academy,00970510,94.9,6.4,24.2,13.1,20.5,2018-19,NA,0097,Fitchburg,Goodrich Academy,Worcester,186,160,Yes,0%,Include
Fitchburg-Arthur M Longsjo Middle School,00970315,93.5,11.0,46.3,22.4,29.0,2018-19,NA,0097,Fitchburg,Arthur M Longsjo Middle School,Worcester,614,394,Yes,36%,Include
Fitchburg-Memorial Middle School,00970048,93.5,11.3,45.3,22.5,26.1,2018-19,NA,0097,Fitchburg,Memorial Middle School,Worcester,601,370,Yes,38%,Include
Four Rivers Charter Public (District)-Four Rivers Charter Public School,04130505,94.0,10.4,45.3,17.8,0.9,2018-19,NA,0413,Four Rivers Charter Public (District),Four Rivers Charter Public School,Franklin,213,213,Yes,0%,Include
Franklin County Regional Vocational Technical-Franklin County Technical,08180605,92.7,12.7,54.6,25.9,10.6,2018-19,NA,0818,Franklin County Regional Vocational Technical,Franklin County Technical,Franklin,643,643,Yes,0%,Include
Frontier-Frontier Regional,06700505,94.1,10.4,38.8,11.5,1.5,2018-19,NA,0670,Frontier,Frontier Regional,Franklin,588,582,Yes,0%,Include
Gardner-Gardner Academy for Learning and Technology,01030515,76.2,38.3,86.4,76.3,84.7,2018-19,NA,0103,Gardner,Gardner Academy for Learning and Technology,Worcester,123,123,Yes,0%,Include
Gardner-Gardner High,01030505,93.4,11.3,40.2,21.3,31.9,2018-19,NA,0103,Gardner,Gardner High,Worcester,808,804,Yes,0%,Include
Gateway-Gateway Regional High,06720505,94.8,8.8,34.5,8.9,22.2,2018-19,NA,0672,Gateway,Gateway Regional School,Hampshire,333,272,Yes,18%,Include
Gill-Montague-Great Falls Middle,06740310,94.4,9.8,39.6,16.3,19.6,2018-19,NA,0674,Gill-Montague,Great Falls Middle,Franklin,228,169,Yes,26%,Include
Gill-Montague-Turners Fall High,06740505,91.0,15.1,43.7,27.7,30.5,2018-19,NA,0674,Gill-Montague,Turners Fall High,Franklin,199,197,Yes,0%,Include
Grafton-Grafton High School,01100505,94.2,10.1,35.6,13.6,17.1,2018-19,NA,0110,Grafton,Grafton High School,Worcester,914,899,Yes,0%,Include
Grafton-Grafton Middle,01100305,95.8,7.5,24.2,6.5,17.1,2018-19,NA,0110,Grafton,Grafton Middle,Worcester,478,478,Yes,0%,Include
Granby-Granby Jr Sr High School,01110505,96.0,7.0,19.4,6.6,12.4,2018-19,NA,0111,Granby,Granby Jr Sr High School,Hampshire,290,290,Yes,0%,Include
Greenfield-Greenfield High,01140505,91.1,15.5,56.9,31.5,52.5,2018-19,NA,0114,Greenfield,Greenfield High,Franklin,404,394,Yes,0%,Include
Greenfield Commonwealth Virtual District-Greenfield Commonwealth Virtual School,39010900,90.1,13.8,43.9,36.9,3.9,2018-19,NA,3901,Greater Commonwealth Virtual District,Greater Commonwealth Virtual School,Franklin,1184,864,Yes,27%,Include
Hadley-Hopkins Academy,01170505,95.1,8.4,30.0,13.7,3.4,2018-19,NA,0117,Hadley,Hopkins Academy,Hampshire,203,203,Yes,0%,Include
Hampden Charter School of Science East (District)-Hampden Charter School of Science East,04990305,95.4,8.0,29.7,10.8,1.9,2018-19,NA,0499,Hampden Charter School of Science (District),Hampden Charter School of Science,Hampden,938,794,Yes,15%,Include
Hampden-Wilbraham-Wilbraham Middle,06800310,95.4,8.3,31.1,9.5,0.0,2018-19,NA,0680,Hampden-Wilbraham,Wilbraham Middle,Hampden,613,413,Yes,33%,Include
Hampden-Wilbraham-Minnechaug Regional High,06800505,95.1,8.7,30.0,8.9,0.0,2018-19,NA,0680,Hampden-Wilbraham,Minnechaug Regional High,Hampden,990,983,Yes,0%,Include
Hampshire-Hampshire Regional High,06830505,94.7,9.5,39.0,12.3,0.0,2018-19,NA,0683,Hampshire,Hampshire Regional High,Hampshire,718,716,Yes,0%,Include
Harvard-Bromfield,01250505,95.7,7.7,29.7,8.7,0.0,2018-19,NA,0125,Harvard,The Bromfield High School,Worcester,328,328,Yes,0%,Include
Hatfield-Smith Academy,01270505,96.1,6.8,21.5,6.2,0.0,2018-19,NA,0127,Hatfield,Smith Academy,Hampshire,109,109,Yes,0%,Include
Holyoke-Holyoke High,01370505,88.8,17.9,54.0,32.7,42.1,2018-19,NA,0137,Holyoke,Holyoke High,Hampden,1569,1569,Yes,0%,Include
Holyoke-Holyoke STEM Academy,01370320,93.2,11.6,48.9,23.0,34.1,2018-19,NA,0137,Holyoke,Holyoke STEM Academy,Hampden,289,196,Yes,32%,Include
Holyoke-Lt Clayre Sullivan Elementary,01370055,93.8,10.8,42.9,18.9,28.8,2018-19,NA,0137,Holyoke,Lt Clayre Sullivan Elementary,Hampden,463,314,Yes,32%,Include
Holyoke-Joseph Metcalf School,01370003,94.8,8.9,33.1,16.2,18.0,2018-19,NA,0137,Holyoke,Joseph Metcalf School,Hampden,213,140,Yes,34%,Include
Hopedale-Hopedale Jr Sr High,01380505,95.4,8.1,28.8,9.0,18.8,2018-19,NA,0138,Hopedale,Hopedale Jr Sr High,Worcester,456,453,Yes,0%,Include
Lee-Lee Middle/High School,01500505,94.3,9.8,34.9,16.5,7.8,2018-19,NA,0150,Lee,Lee Middle/High School,Berkshire,328,327,Yes,0%,Include
Leicester-Leicester High,01510505,94.1,10.1,42.0,17.6,34.6,2018-19,NA,0151,Leicester,Leicester High,Worcester,388,384,Yes,0%,Include
Leicester-Leicester Middle,01510015,95.7,7.6,28.1,6.7,23.3,2018-19,NA,0151,Leicester,Leicester Middle,Worcester,394,204,Yes,48%,Include
Lenox-Lenox Memorial High,01520505,96.3,6.6,20.9,6.2,2.8,2018-19,NA,0152,Lenox,Lenox Memorial High,Berkshire,439,371,Yes,15%,Include
Leominster-Samoset School,01530045,94.4,9.8,37.7,14.5,26.7,2018-19,NA,0153,Leominster,Samoset School,Worcester,495,320,Yes,35%,Include
Leominster-Sky View Middle School,01530320,95.2,8.3,35.7,12.0,30.5,2018-19,NA,0153,Leominster,Sky View Middle School,Worcester,869,565,Yes,35%,Include
Leominster-Leominster High School,01530505,93.1,11.6,48.0,23.3,38.3,2018-19,NA,0153,Leominster,Leominster High School,Worcester,1060,1055,Yes,0%,Include
Leominster-Leominster Center for Excellence,01530515,88.6,19.0,59.6,36.8,49.1,2018-19,NA,0153,Leominster,Leominster Center for Excellence,Worcester,65,65,Yes,0%,Include
Leominster-Center For Technical Education Innovation,01530605,93.8,10.7,44.5,17.9,35.5,2018-19,NA,0153,Leominster,Center For Technical Education Innovation,Worcester,821,811,Yes,0%,Include
Libertas Academy Charter School (District)-Libertas Academy Charter School,35140305,92.8,11.8,49.2,24.3,2.1,2018-19,NA,3514,Libertas Academy Charter School (District),Libertas Academy Charter School,Hampden,563,470,Yes,17%,Include
Longmeadow-Glenbrook Middle,01590017,96.2,6.8,24.2,4.7,0.0,2018-19,NA,0159,Longmeadow,Glenbrook Middle,Hampden,327,221,Yes,32%,Include
Longmeadow-Williams Middle,01590305,95.9,7.3,24.5,7.3,0.0,2018-19,NA,0159,Longmeadow,Williams Middle,Hampden,337,219,Yes,35%,Include
Longmeadow-Longmeadow High,01590505,96.2,6.6,23.1,7.3,0.1,2018-19,NA,0159,Longmeadow,Longmeadow High,Hampden,897,897,Yes,0%,Include
Ludlow-Paul R Baird Middle,01610305,95.7,7.6,27.9,8.4,16.9,2018-19,NA,0161,Ludlow,Paul R Baird Middle,Hampden,513,362,Yes,29%,Include
